Port Name: ENGLAND, WEST COAST $ LIVERPOOL (GLADSTONE DOCK)            
53 27.0 N 03 01.1 W
z0=  5.249   OD= -4.930
3.03800 320.72000   31 M2
0.97800   4.70000   36 S2
0.58000 298.07999   28 N2
0.28400   3.45000   38 K2
0.23700 202.41000   48 M4
0.14400 245.70000   50 MS4
0.13500 335.20999   34 L2
0.13400 297.32999   29 NU2
0.12300 191.34000   17 K1
0.11500  40.42000   10 O1
0.09700 228.24001    1 Sa
0.09400 175.59000   47 MN4
0.07600 275.92999   26 2N2
0.05800 320.82001   33 LAMBDA2
0.05500 358.70999   35 T2
0.05500 347.73999   55 M6
0.05300  29.56000   57 2MS6
0.04600 181.70000   15 P1
0.04300  32.97000   27 MU2
0.04300 244.28999   51 MK4
0.03800 344.76999    8 Q1
0.03500 214.00000   41 2SM2
0.03300 299.98999   43 M3
0.03300  83.14000  102 2MK2
0.03200 324.84000   54 2MN6
0.03000 191.60001   39 MSN2
0.02400 121.02000    2 Ssa
0.02400 186.03000  108 MV4
0.02300 216.64999   49 SN4
0.02100  44.41000   45 MK3
